Country_ID,Year_ID,Series_ID,Value
1,1,1,0.8
1,1,2,2.3
1,1,3,27.5
1,1,4,71.7
1,1,5,69.1
1,1,6,74.4
2,1,1,2.3
2,1,2,4.2
2,1,3,44.2
2,1,4,62.2
2,1,5,60.2
2,1,6,64.1
3,1,1,1.6
3,1,2,3.0
3,1,3,21.4
3,1,4,71.3
3,1,5,69.1
3,1,6,73.6
4,1,1,2.5
4,1,2,4.5
4,1,3,47.5
4,1,4,60.2
4,1,5,58.3
4,1,6,62.1
5,1,1,2.5
5,1,2,4.2
5,1,3,35.5
5,1,4,63.6
5,1,5,61.0
5,1,6,66.2
6,1,1,3.0
6,1,2,5.6
6,1,3,50.7
6,1,4,59.6
6,1,5,57.5
6,1,6,61.8
7,1,1,0.9
7,1,2,2.4
7,1,3,30.4
7,1,4,61.1
7,1,5,58.1
7,1,6,63.8
8,1,1,2.5
8,1,2,4.9
8,1,3,59.7
8,1,4,57.3
8,1,5,56.4
8,1,6,58.2
9,1,1,0.5
9,1,2,1.6
9,1,3,4.9
9,1,4,78.7
9,1,5,76.0
9,1,6,81.4
10,1,1,0.7
10,1,2,1.8
10,1,3,13.1
10,1,4,73.8
10,1,5,70.6
10,1,6,77.0
11,1,1,0.5
11,1,2,2.0
11,1,3,26.6
11,1,4,72.7
11,1,5,69.6
11,1,6,75.9
12,1,1,0.9
12,1,2,1.9
12,1,3,12.2
12,1,4,74.1
12,1,5,70.9
12,1,6,77.4
13,1,1,0.6
13,1,2,1.8
13,1,3,12.0
13,1,4,73.8
13,1,5,70.6
13,1,6,77.0
14,1,1,0.6
14,1,2,1.9
14,1,3,22.2
14,1,4,73.2
14,1,5,70.8
14,1,6,75.8
15,1,1,1.5
15,1,2,2.9
15,1,3,14.8
15,1,4,70.6
15,1,5,67.5
15,1,6,73.6
16,1,1,0.0
16,1,2,1.2
16,1,3,5.7
16,1,4,79.5
16,1,5,76.7
16,1,6,82.4
17,1,1,0.9
17,1,2,2.2
17,1,3,29.4
17,1,4,68.3
17,1,5,66.5
17,1,6,70.2
18,1,1,0.8
18,1,2,2.1
18,1,3,18.6
18,1,4,71.4
18,1,5,68.7
18,1,6,74.3
19,1,1,0.9
19,1,2,2.2
19,1,3,30.1
19,1,4,68.2
19,1,5,66.4
19,1,6,70.1
20,1,1,1.5
20,1,2,2.6
20,1,3,17.6
20,1,4,74.6
20,1,5,72.0
20,1,6,77.4
21,1,1,-0.3
21,1,2,1.5
21,1,3,3.5
21,1,4,77.4
21,1,5,74.0
21,1,6,80.8
22,1,1,-0.7
22,1,2,1.5
22,1,3,4.4
22,1,4,71.5
22,1,5,66.7
22,1,6,76.5
23,1,1,0.3
23,1,2,1.6
23,1,3,2.8
23,1,4,81.9
23,1,5,80.0
23,1,6,83.8
24,1,1,-0.3
24,1,2,1.3
24,1,3,2.7
24,1,4,82.2
24,1,5,79.8
24,1,6,84.6
25,1,1,0.1
25,1,2,1.6
25,1,3,3.1
25,1,4,82.1
25,1,5,79.6
25,1,6,84.5
26,1,1,1.2
26,1,2,2.1
26,1,3,15.7
26,1,4,79.2
26,1,5,76.8
26,1,6,81.6
27,1,1,1.0
27,1,2,1.6
27,1,3,2.9
27,1,4,83.5
27,1,5,81.6
27,1,6,85.3
28,1,1,1.8
28,1,2,3.1
28,1,3,30.9
28,1,4,66.9
28,1,5,64.4
28,1,6,70.0
29,1,1,1.0
29,1,2,2.8
29,1,3,22.0
29,1,4,72.7
29,1,5,69.8
29,1,6,75.7
30,1,1,0.9
30,1,2,2.6
30,1,3,10.7
30,1,4,77.1
30,1,5,74.8
30,1,6,79.7
31,1,1,2.7
31,1,2,4.5
31,1,3,40.8
31,1,4,62.9
31,1,5,59.8
31,1,6,66.2
32,1,1,-0.4
32,1,2,1.4
32,1,3,8.2
32,1,4,76.8
32,1,5,74.5
32,1,6,79.5
33,1,1,1.6
33,1,2,2.8
33,1,3,16.6
33,1,4,77.1
33,1,5,75.9
33,1,6,78.5
34,1,1,-0.8
34,1,2,2.3
34,1,3,7.0
34,1,4,72.7
34,1,5,70.0
34,1,6,75.5
35,1,1,0.3
35,1,2,1.1
35,1,3,5.4
35,1,4,83.6
35,1,5,81.4
35,1,6,85.8
36,1,1,3.0
36,1,2,5.2
36,1,3,48.2
36,1,4,61.9
36,1,5,59.4
36,1,6,64.5
37,1,1,0.3
37,1,2,1.3
37,1,3,6.1
37,1,4,77.4
37,1,5,74.1
37,1,6,81.2
38,1,1,0.6
38,1,2,1.6
38,1,3,5.0
38,1,4,79.2
38,1,5,76.5
38,1,6,81.6
39,1,1,0.5
39,1,2,1.9
39,1,3,8.8
39,1,4,76.1
39,1,5,72.9
39,1,6,79.3
40,1,1,-0.2
40,1,2,1.6
40,1,3,8.1
40,1,4,73.4
40,1,5,67.9
40,1,6,78.4
41,1,1,-0.2
41,1,2,1.2
41,1,3,12.6
41,1,4,75.0
41,1,5,72.1
41,1,6,77.7
42,1,1,1.0
42,1,2,1.6
42,1,3,2.8
42,1,4,83.6
42,1,5,81.7
42,1,6,85.5
43,1,1,0.2
43,1,2,1.5
43,1,3,2.5
43,1,4,82.4
43,1,5,80.2
43,1,6,84.6
44,1,1,0.6
44,1,2,1.7
44,1,3,16.4
44,1,4,73.5
44,1,5,70.6
44,1,6,76.2
45,1,1,0.7
45,1,2,1.4
45,1,3,10.1
45,1,4,74.4
45,1,5,70.8
45,1,6,77.8
46,1,1,0.9
46,1,2,1.8
46,1,3,5.4
46,1,4,79.2
46,1,5,78.2
46,1,6,80.5
47,1,1,1.0
47,1,2,2.0
47,1,3,20.4
47,1,4,73.7
47,1,5,71.5
47,1,6,76.0
48,1,1,0.1
48,1,2,1.6
48,1,3,10.4
48,1,4,77.7
48,1,5,75.7
48,1,6,79.6
49,1,1,-0.3
49,1,2,1.5
49,1,3,1.9
49,1,4,73.2
49,1,5,68.1
49,1,6,78.4
50,1,1,0.3
50,1,2,1.6
50,1,3,2.9
50,1,4,82.3
50,1,5,80.2
50,1,6,84.4
51,1,1,1.3
51,1,2,2.0
51,1,3,10.1
51,1,4,71.0
51,1,5,67.7
51,1,6,74.7
52,1,1,2.7
52,1,2,4.9
52,1,3,54.4
52,1,4,60.0
52,1,5,58.3
52,1,6,61.7
53,1,1,-0.2
53,1,2,1.4
53,1,3,2.1
53,1,4,81.6
53,1,5,78.4
53,1,6,84.5
54,1,1,0.6
54,1,2,1.4
54,1,3,20.7
54,1,4,72.2
54,1,5,70.6
54,1,6,74.2
55,1,1,1.2
55,1,2,2.6
55,1,3,24.9
55,1,4,64.9
55,1,5,62.3
55,1,6,67.9
56,1,1,0.4
56,1,2,1.6
56,1,3,12.8
56,1,4,75.4
56,1,5,73.2
56,1,6,78.2
57,1,1,-0.8
57,1,2,1.3
57,1,3,4.9
57,1,4,75.3
57,1,5,73.1
57,1,6,77.5
58,1,1,1.7
58,1,2,2.8
58,1,3,33.1
58,1,4,65.9
58,1,5,63.3
58,1,6,68.4
59,1,1,0.5
59,1,2,1.6
59,1,3,12.3
59,1,4,73.4
59,1,5,70.3
59,1,6,76.6
60,1,1,0.8
60,1,2,1.0
60,1,3,13.7
60,1,4,76.4
60,1,5,73.6
60,1,6,79.3
61,1,1,0.8
61,1,2,1.8
61,1,3,9.3
61,1,4,74.6
61,1,5,72.5
61,1,6,76.8
62,1,1,-1.5
62,1,2,1.6
62,1,3,5.3
62,1,4,71.5
62,1,5,68.3
62,1,6,75.1
63,1,1,2.5
63,1,2,4.7
63,1,3,47.4
63,1,4,59.8
63,1,5,58.0
63,1,6,61.5
64,1,1,2.7
64,1,2,5.0
64,1,3,36.3
64,1,4,62.0
64,1,5,60.1
64,1,6,63.9
65,1,1,0.9
65,1,2,1.9
65,1,3,11.4
65,1,4,74.7
65,1,5,70.3
65,1,6,79.0
66,1,1,1.0
66,1,2,2.3
66,1,3,20.6
66,1,4,69.9
66,1,5,67.1
66,1,6,72.6
67,1,1,2.6
67,1,2,4.4
67,1,3,45.8
67,1,4,61.0
67,1,5,59.4
67,1,6,62.6
68,1,1,0.9
68,1,2,1.5
68,1,3,3.9
68,1,4,82.8
68,1,5,80.9
68,1,6,84.8
69,1,1,0.9
69,1,2,1.2
69,1,3,7.3
69,1,4,75.6
69,1,5,73.2
69,1,6,78.1
70,1,1,2.8
70,1,2,5.9
70,1,3,67.7
70,1,4,54.5
70,1,5,52.3
70,1,6,56.8
71,1,1,3.1
71,1,2,6.2
71,1,3,65.5
71,1,4,53.0
71,1,5,51.3
71,1,6,54.8
72,1,1,0.1
72,1,2,1.5
72,1,3,4.9
72,1,4,79.5
72,1,5,77.2
72,1,6,81.9
73,1,1,0.0
73,1,2,1.2
73,1,3,5.9
73,1,4,78.6
73,1,5,76.0
73,1,6,81.3
74,1,1,0.0
74,1,2,0.8
74,1,3,1.4
74,1,4,84.3
74,1,5,81.8
74,1,6,86.9
75,1,1,1.3
75,1,2,1.1
75,1,3,2.2
75,1,4,85.4
75,1,5,82.8
75,1,6,88.0
76,1,1,0.3
76,1,2,1.7
76,1,3,10.9
76,1,4,73.7
76,1,5,70.3
76,1,6,77.1
77,1,1,1.8
77,1,2,3.9
77,1,3,45.5
77,1,4,63.7
77,1,5,61.5
77,1,6,66.1
78,1,1,2.3
78,1,2,4.1
78,1,3,36.7
78,1,4,63.1
78,1,5,61.5
78,1,6,64.6
79,1,1,0.3
79,1,2,2.2
79,1,3,5.7
79,1,4,75.1
79,1,5,71.4
79,1,6,79.0
80,1,1,0.5
80,1,2,1.5
80,1,3,6.8
80,1,4,77.3
80,1,5,74.8
80,1,6,80.0
81,1,1,2.5
81,1,2,4.3
81,1,3,56.8
81,1,4,58.9
81,1,5,57.7
81,1,6,60.3
82,1,1,-0.5
82,1,2,1.4
82,1,3,3.0
82,1,4,79.2
82,1,5,76.4
82,1,6,82.0
83,1,1,-0.2
83,1,2,1.4
83,1,3,4.0
83,1,4,78.2
83,1,5,75.8
83,1,6,80.6
84,1,1,0.5
84,1,2,1.6
84,1,3,7.9
84,1,4,76.7
84,1,5,72.7
84,1,6,80.3
85,1,1,0.7
85,1,2,1.3
85,1,3,2.1
85,1,4,81.9
85,1,5,80.1
85,1,6,83.7
86,1,1,-0.1
86,1,2,1.7
86,1,3,2.4
86,1,4,78.1
86,1,5,75.1
86,1,6,81.2
87,1,1,0.4
87,1,2,1.8
87,1,3,13.6
87,1,4,73.6
87,1,5,71.0
87,1,6,76.1
88,1,1,3.2
88,1,2,6.1
88,1,3,50.0
88,1,4,59.7
88,1,5,57.5
88,1,6,62.1
89,1,1,0.5
89,1,2,1.7
89,1,3,2.9
89,1,4,81.9
89,1,5,80.0
89,1,6,83.8
90,1,1,1.4
90,1,2,2.8
90,1,3,36.5
90,1,4,62.9
90,1,5,60.3
90,1,6,65.5
91,1,1,0.4
91,1,2,1.6
91,1,3,11.4
91,1,4,73.0
91,1,5,69.9
91,1,6,76.5
92,1,1,0.9
92,1,2,2.2
92,1,3,24.4
92,1,4,74.2
92,1,5,71.0
92,1,6,77.5
93,1,1,1.1
93,1,2,2.0
93,1,3,10.7
93,1,4,77.9
93,1,5,75.3
93,1,6,80.5
94,1,1,1.5
94,1,2,2.9
94,1,3,16.0
94,1,4,70.2
94,1,5,67.9
94,1,6,72.6
95,1,1,0.4
95,1,2,1.8
95,1,3,9.9
95,1,4,71.5
95,1,5,66.8
95,1,6,75.8
96,1,1,2.4
96,1,2,4.2
96,1,3,53.8
96,1,4,61.2
96,1,5,59.4
96,1,6,63.3
97,1,1,1.7
97,1,2,3.8
97,1,3,28.6
97,1,4,66.6
97,1,5,64.5
97,1,6,68.7
98,1,1,-0.2
98,1,2,1.7
98,1,3,1.8
98,1,4,79.2
98,1,5,75.0
98,1,6,83.0
99,1,1,0.7
99,1,2,2.8
99,1,3,39.2
99,1,4,56.4
99,1,5,52.6
99,1,6,60.6
100,1,1,2.5
100,1,2,4.1
100,1,3,31.9
100,1,4,65.6
100,1,5,62.6
100,1,6,68.9
101,1,1,0.5
101,1,2,1.6
101,1,3,9.0
101,1,4,79.2
101,1,5,77.4
101,1,6,81.2
102,1,1,0.4
102,1,2,2.7
102,1,3,5.3
102,1,4,78.9
102,1,5,77.3
102,1,6,80.7
103,1,1,0.7
103,1,2,2.5
103,1,3,17.9
103,1,4,68.3
103,1,5,66.5
103,1,6,70.2
104,1,1,0.1
104,1,2,1.4
104,1,3,1.6
104,1,4,82.4
104,1,5,79.8
104,1,6,84.9
105,1,1,0.2
105,1,2,1.8
105,1,3,3.3
105,1,4,83.2
105,1,5,80.4
105,1,6,86.0
106,1,1,2.5
106,1,2,3.5
106,1,3,7.6
106,1,4,77.5
106,1,5,74.8
106,1,6,80.3
107,1,1,0.9
107,1,2,1.7
107,1,3,5.4
107,1,4,83.6
107,1,5,81.3
107,1,6,86.0
108,1,1,2.0
108,1,2,3.5
108,1,3,29.5
108,1,4,65.7
108,1,5,63.4
108,1,6,68.4
109,1,1,2.4
109,1,2,4.6
109,1,3,28.0
109,1,4,62.9
109,1,5,61.5
109,1,6,64.3
110,1,1,-0.5
110,1,2,2.1
110,1,3,8.2
110,1,4,71.6
110,1,5,66.8
